['WizardLMTeam/WizardCoder-15B-V1.0', 'cg1', '0:01:49', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'cg2', '0:02:02', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'cg3', '0:00:00', -1, 933, True, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'cg4', '0:00:12', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'cg5', '0:01:12', -1, 892, True, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'cg6', '0:02:41', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm1', '0:00:12', -1, 7917, -1, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm2', '0:00:16', -1, 7672, -1, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm3', '0:00:01', -1, 949, -1, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm4', '0:00:13', -1, 3876, -1, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm5', '0:00:30', -1, 4724, -1, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm6', '0:00:25', -1, 7794, -1, False, False]
['WizardLMTeam/WizardCoder-15B-V1.0', 'dm7', '0:00:11', -1, 871, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'cg1', '0:05:04', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'cg2', '0:02:15', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'cg3', '0:00:30', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'cg4', '0:00:23', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'cg5', '0:03:19', -1, 891, True, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'cg6', '0:03:52', -1, 871, True, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm1', '0:03:07', -1, 11577, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm2', '0:01:36', -1, 10894, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm3', '0:05:30', -1, 47366, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm4', '0:01:01', -1, 5429, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm5', '0:00:48', -1, 4988, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm6', '0:02:52', -1, 12896, -1, False, False]
['WizardLMTeam/WizardCoder-Python-13B-V1.0', 'dm7', '0:13:11', -1, 29343, -1, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'cg1', '0:03:15', -1, 872, True, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'cg2', '0:02:41', -1, 872, True, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'cg3', '0:02:13', -1, 872, True, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'cg4', '0:00:50', -1, 872, True, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'cg5', '0:03:18', -1, 890, True, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'cg6', '0:04:14', -1, 872, True, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'dm1', '0:01:40', -1, 11247, -1, False, False]
['mistralai/Mistral-7B-Instruct-v0.3', 'dm2', '0:01:55', -1, 11346, -1, False, False]
