'WizardLMTeam/WizardCoder-15B-V1.0'	 'cg1'	" "" '0:01:49'"""	-1	881	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'cg2'	" "" '0:02:02'"""	-1	871	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'cg3'	" "" '0:00:00'"""	-1	933	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'cg4'	" "" '0:00:12'"""	-1	909	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'cg5'	" "" '0:01:12'"""	-1	1366	 False	 False	 False	 True
'WizardLMTeam/WizardCoder-15B-V1.0'	 'cg6'	" "" '0:02:41'"""	-1	1069	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm1'	" "" '0:00:12'"""	-1	955	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm2'	" "" '0:00:16'"""	1	433	-1	 False	 True	 True
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm3'	" "" '0:00:01'"""	-1	949	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm4'	" "" '0:00:13'"""	-1	877	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm5'	" "" '0:00:30'"""	1	644	-1	 False	 True	 True
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm6'	" "" '0:00:25'"""	1	191	-1	 False	 True	 True
'WizardLMTeam/WizardCoder-15B-V1.0'	 'dm7'	" "" '0:00:11'"""	-1	860	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'cg1'	" "" '0:05:04'"""	-1	894	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'cg2'	" "" '0:02:15'"""	-1	1020	 False	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'cg3'	" "" '0:00:30'"""	-1	901	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'cg4'	" "" '0:00:23'"""	-1	921	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'cg5'	" "" '0:03:19'"""	-1	842	 True	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'cg6'	" "" '0:03:52'"""	1	295	 False	 False	 True	 True
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm1'	" "" '0:03:07'"""	-1	3928	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm2'	" "" '0:01:36'"""	-1	3254	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm3'	" "" '0:05:30'"""	1	369	-1	 False	 False	 True
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm4'	" "" '0:01:01'"""	1	634	-1	 False	 True	 True
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm5'	" "" '0:00:48'"""	1	714	-1	 False	 True	 True
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm6'	" "" '0:02:52'"""	-1	315	-1	 False	 False	 False
'WizardLMTeam/WizardCoder-Python-13B-V1.0'	 'dm7'	" "" '0:13:11'"""	-1	29277	-1	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'cg1'	" "" '0:03:15'"""	-1	1060	 True	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'cg2'	" "" '0:02:41'"""	-1	1009	 True	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'cg3'	" "" '0:02:13'"""	-1	893	 True	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'cg4'	" "" '0:00:50'"""	-1	873	 True	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'cg5'	" "" '0:03:18'"""	-1	948	 True	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'cg6'	" "" '0:04:14'"""	-1	900	 True	 False	 False	 False
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm1'	" "" '0:01:40'"""	3	1322	-1	 False	 True	 True
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm2'	" "" '0:01:55'"""	4	2114	-1	 False	 False	 True
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm3'	" "" '0:00:36'"""	-1	375	-1	 False	 False	 True
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm4'	" "" '0:00:22'"""	1	702	-1	 False	 True	 True
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm5'	" "" '0:03:09'"""	1	747	-1	 False	 False	 True
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm6'	" "" '0:03:37'"""	3	1113	-1	 False	 True	 True
'mistralai/Mistral-7B-Instruct-v0.3'	 'dm7'	" "" '0:00:41'"""	1	761	-1	 False	 False	 True
'google/gemma-7b-it'	 'cg1'	" "" '0:01:25'"""	-1	866	 True	 False	 False	 False
'google/gemma-7b-it'	 'cg2'	" "" '0:01:50'"""	-1	1753	 True	 False	 False	 False
'google/gemma-7b-it'	 'cg3'	" "" '0:02:03'"""	-1	943	 True	 False	 False	 False
'google/gemma-7b-it'	 'cg4'	" "" '0:00:45'"""	-1	887	 True	 False	 False	 False
'google/gemma-7b-it'	 'cg5'	" "" '0:02:07'"""	-1	866	 True	 False	 False	 False
'google/gemma-7b-it'	 'cg6'	" "" '0:00:50'"""	-1	858	 True	 False	 False	 False
'google/gemma-7b-it'	 'dm1'	" "" '0:00:29'"""	1	181	-1	 False	 False	 True
'google/gemma-7b-it'	 'dm2'	" "" '0:02:01'"""	1	191	-1	 False	 True	 True
'google/gemma-7b-it'	 'dm3'	" "" '0:00:20'"""	-1	942	-1	 False	 False	 False
'google/gemma-7b-it'	 'dm4'	" "" '0:01:39'"""	1	740	-1	 False	 False	 True
'google/gemma-7b-it'	 'dm5'	" "" '0:00:58'"""	1	732	-1	 False	 False	 True
'google/gemma-7b-it'	 'dm6'	" "" '0:00:51'"""	1	191	-1	 False	 True	 True
'google/gemma-7b-it'	 'dm7'	" "" '0:00:31'"""	1	821	-1	 False	 False	 True
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'cg1'	" "" '0:11:09'"""	-1	871	 True	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'cg2'	" "" '0:11:10'"""	-1	934	 True	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'cg3'	" "" '0:11:58'"""	-1	896	 True	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'cg4'	" "" '0:11:11'"""	-1	1073	 True	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'cg5'	" "" '0:11:10'"""	-1	871	 True	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'cg6'	" "" '0:11:13'"""	-1	888	 True	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm1'	" "" '0:11:08'"""	-1	6801	-1	 False	 False	 False
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm2'	" "" '0:11:10'"""	6	4821	-1	 False	 False	 True
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm3'	" "" '0:12:20'"""	1	187	-1	 False	 True	 True
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm4'	" "" '0:11:09'"""	3	1626	-1	 False	 False	 True
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm5'	" "" '0:11:12'"""	1	723	-1	 False	 False	 True
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm6'	" "" '0:11:10'"""	1	196	-1	 False	 True	 True
'meta-llama/Meta-Llama-3.1-8B-Instruct'	 'dm7'	" "" '0:11:11'"""	-1	53324	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'cg1'	" "" '0:00:32'"""	-1	868	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'cg2'	" "" '0:00:54'"""	-1	871	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'cg3'	" "" '0:01:21'"""	-1	1004	 False	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'cg4'	" "" '0:04:45'"""	-1	876	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'cg5'	" "" '0:03:34'"""	-1	886	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'cg6'	" "" '0:00:51'"""	-1	867	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm1'	" "" '0:00:15'"""	-1	863	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm2'	" "" '0:00:40'"""	-1	1615	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm3'	" "" '0:02:00'"""	-1	3749	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm4'	" "" '0:00:42'"""	-1	975	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm5'	" "" '0:07:37'"""	1	772	-1	 False	 False	 True
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm6'	" "" '0:00:44'"""	1	194	-1	 False	 True	 True
'meta-llama/CodeLlama-7b-Instruct-hf'	 'dm7'	" "" '0:00:26'"""	1	716	-1	 False	 False	 True
'meta-llama/CodeLlama-7b-Python-hf'	 'cg1'	" "" '0:10:33'"""	-1	929	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'cg2'	" "" '0:02:08'"""	-1	871	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'cg3'	" "" '0:11:58'"""	-1	896	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'cg4'	" "" '0:02:38'"""	-1	897	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'cg5'	" "" '0:10:37'"""	-1	872	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'cg6'	" "" '0:01:07'"""	-1	896	 True	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'dm1'	" "" '0:10:37'"""	-1	24576	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'dm2'	" "" '0:02:27'"""	1	191	-1	 False	 True	 True
'meta-llama/CodeLlama-7b-Python-hf'	 'dm3'	" "" '0:00:19'"""	-1	855	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'dm4'	" "" '0:00:48'"""	-1	1900	-1	 False	 False	 False
'meta-llama/CodeLlama-7b-Python-hf'	 'dm5'	" "" '0:08:49'"""	1	613	-1	 False	 True	 True
'meta-llama/CodeLlama-7b-Python-hf'	 'dm6'	" "" '0:10:40'"""	3	1585	-1	 False	 True	 True
'meta-llama/CodeLlama-7b-Python-hf'	 'dm7'	" "" '0:00:57'"""	-1	2113	-1	 False	 False	 False
'gpt-3.5-turbo'	 'cg1'	" "" '0:00:10'"""	-1	870	 True	 False	 False	 False
'gpt-3.5-turbo'	 'cg2'	" "" '0:00:09'"""	-1	870	 True	 False	 False	 False
'gpt-3.5-turbo'	 'cg3'	" "" '0:00:11'"""	-1	870	 True	 False	 False	 False
'gpt-3.5-turbo'	 'cg4'	" "" '0:00:07'"""	-1	870	 True	 False	 False	 False
'gpt-3.5-turbo'	 'cg5'	" "" '0:00:08'"""	-1	870	 True	 False	 False	 False
'gpt-3.5-turbo'	 'cg6'	" "" '0:00:10'"""	-1	870	 True	 False	 False	 False
'gpt-3.5-turbo'	 'dm1'	" "" '0:00:06'"""	1	225	-1	 False	 True	 True
'gpt-3.5-turbo'	 'dm2'	" "" '0:00:06'"""	1	189	-1	 False	 True	 True
'gpt-3.5-turbo'	 'dm3'	" "" '0:00:09'"""	1	183	-1	 False	 True	 True
'gpt-3.5-turbo'	 'dm4'	" "" '0:00:04'"""	1	683	-1	 False	 True	 True
'gpt-3.5-turbo'	 'dm5'	" "" '0:00:04'"""	1	660	-1	 False	 True	 True
'gpt-3.5-turbo'	 'dm6'	" "" '0:00:07'"""	1	191	-1	 False	 True	 True
'gpt-3.5-turbo'	 'dm7'	" "" '0:00:02'"""	1	827	-1	 False	 True	 True
'gpt-4-turbo'	 'cg1'	" "" '0:00:39'"""	1	194	 False	 False	 True	 True
'gpt-4-turbo'	 'cg2'	" "" '0:00:39'"""	1	219	 False	 False	 True	 True
'gpt-4-turbo'	 'cg3'	" "" '0:00:32'"""	-1	867	 True	 False	 False	 False
'gpt-4-turbo'	 'cg4'	" "" '0:00:29'"""	1	836	 False	 False	 False	 True
'gpt-4-turbo'	 'cg5'	" "" '0:00:36'"""	1	727	 False	 False	 False	 True
'gpt-4-turbo'	 'cg6'	" "" '0:00:48'"""	1	203	 False	 False	 True	 True
'gpt-4-turbo'	 'dm1'	" "" '0:00:19'"""	1	174	-1	 False	 True	 True
'gpt-4-turbo'	 'dm2'	" "" '0:00:21'"""	1	165	-1	 False	 True	 True
'gpt-4-turbo'	 'dm3'	" "" '0:00:17'"""	1	183	-1	 False	 True	 True
'gpt-4-turbo'	 'dm4'	" "" '0:00:13'"""	1	592	-1	 False	 True	 True
'gpt-4-turbo'	 'dm5'	" "" '0:00:20'"""	1	583	-1	 False	 True	 True
'gpt-4-turbo'	 'dm6'	" "" '0:00:22'"""	1	183	-1	 False	 True	 True
'gpt-4-turbo'	 'dm7'	" "" '0:00:23'"""	1	627	-1	 False	 True	 True
'gpt-4'	 'cg1'	" "" '0:00:50'"""	-1	869	 True	 False	 False	 False
'gpt-4'	 'cg2'	" "" '0:00:49'"""	-1	1024	 False	 False	 False	 False
'gpt-4'	 'cg3'	" "" '0:45:03'"""	-1	932	 True	 False	 False	 False
'gpt-4'	 'cg4'	" "" '0:00:44'"""	-1	873	 True	 False	 False	 False
'gpt-4'	 'cg5'	" "" '0:00:37'"""	-1	884	 True	 False	 False	 False
'gpt-4'	 'cg6'	" "" '0:00:55'"""	-1	869	 True	 False	 False	 False
'gpt-4'	 'dm1'	" "" '0:00:28'"""	1	168	-1	 False	 True	 True
'gpt-4'	 'dm2'	" "" '0:00:35'"""	1	168	-1	 False	 True	 True
'gpt-4'	 'dm3'	" "" '0:45:04'"""	-1	878	-1	 False	 False	 False
'gpt-4'	 'dm4'	" "" '0:00:15'"""	1	646	-1	 False	 True	 True
'gpt-4'	 'dm5'	" "" '0:00:14'"""	1	663	-1	 False	 True	 True
'gpt-4'	 'dm6'	" "" '0:00:24'"""	1	162	-1	 False	 True	 True
'gpt-4'	 'dm7'	" "" '0:00:18'"""	1	759	-1	 False	 True	 True
'gpt-4o'	 'cg1'	" "" '0:00:20'"""	1	194	 False	 False	 True	 True
'gpt-4o'	 'cg2'	" "" '0:00:07'"""	-1	869	 True	 False	 False	 False
'gpt-4o'	 'cg3'	" "" '0:00:14'"""	1	191	 False	 False	 True	 True
'gpt-4o'	 'cg4'	" "" '0:00:21'"""	1	727	 False	 False	 False	 True
'gpt-4o'	 'cg5'	" "" '0:00:14'"""	1	742	 False	 False	 False	 True
'gpt-4o'	 'cg6'	" "" '0:00:13'"""	1	191	 False	 False	 True	 True
'gpt-4o'	 'dm1'	" "" '0:00:06'"""	1	166	-1	 False	 True	 True
'gpt-4o'	 'dm2'	" "" '0:00:04'"""	1	174	-1	 False	 True	 True
'gpt-4o'	 'dm3'	" "" '0:00:05'"""	1	225	-1	 False	 True	 True
'gpt-4o'	 'dm4'	" "" '0:00:02'"""	1	723	-1	 False	 True	 True
'gpt-4o'	 'dm5'	" "" '0:00:08'"""	1	688	-1	 False	 True	 True
'gpt-4o'	 'dm6'	" "" '0:00:12'"""	5	1998	-1	 False	 True	 True
'gpt-4o'	 'dm7'	" "" '0:00:07'"""	1	827	-1	 False	 True	 True
