['gpt-4', 'dm1', 0, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 1, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 2, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 3, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 4, '0:00:19', 1, 168, True, True, True]
['gpt-4', 'dm1', 5, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 6, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 7, '0:00:26', 1, 168, True, True, True]
['gpt-4', 'dm1', 8, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 9, '0:00:28', 1, 153, True, True, True]
['gpt-4', 'dm1', 10, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 11, '0:00:25', 1, 169, True, True, True]
['gpt-4', 'dm1', 12, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 13, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 14, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 15, '0:00:29', 1, 177, True, True, True]
['gpt-4', 'dm1', 16, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 17, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 18, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 19, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 20, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 21, '0:00:27', 1, 168, True, True, True]
['gpt-4', 'dm1', 22, '0:00:25', 1, 168, True, True, True]
['gpt-4', 'dm1', 23, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 24, '0:00:23', 1, 168, True, True, True]
['gpt-4', 'dm1', 25, '0:00:22', 1, 168, True, True, True]
['gpt-4', 'dm1', 26, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 27, '0:00:24', 1, 168, True, True, True]
['gpt-4', 'dm1', 28, '0:00:27', 1, 168, True, True, True]
